valor,elemento,foil,tipoCarta,colecao
4.58,,Normal,Trainer – Supporter,Fogo Branco
9.34,,Normal,Trainer – Supporter,Fogo Branco
30.49,,Normal,Trainer – Supporter,Fogo Branco
11.89,,Normal,Trainer – Supporter,Fogo Branco
33.33,,Foil,Trainer – Supporter,Fogo Branco
78.49,,Pokeball Foil,Trainer – Supporter,Fogo Branco
42.57,,Foil,Trainer – Supporter,Fogo Branco
42.01,,Foil,Trainer – Supporter,Fogo Branco
43.98,,Foil,Trainer – Supporter,Fogo Branco
38.83,,Foil,Trainer – Supporter,Fogo Branco
0.58,,Normal,Trainer – Supporter,Fogo Branco
8.42,,Normal,Trainer – Supporter,Fogo Branco
44.99,,Pokeball Foil,Trainer – Supporter,Fogo Branco
22.43,,Foil,Trainer – Supporter,Fogo Branco
16.25,,Normal,Trainer – Supporter,Fogo Branco
6.47,,Normal,Trainer – Supporter,Fogo Branco
43.9,,Pokeball Foil,Trainer – Supporter,Fogo Branco
34.46,,Reverse Foil,Trainer – Supporter,Fogo Branco
38.68,,Reverse Foil,Trainer – Supporter,Fogo Branco
34.1,,Reverse Foil,Trainer – Supporter,Fogo Branco
8.18,,Normal,Trainer – Supporter,Fogo Branco
40.13,,Reverse Foil,Trainer – Supporter,Fogo Branco
1.6,,Normal,Trainer – Supporter,Fogo Branco
7.98,,Normal,Trainer – Supporter,Fogo Branco
16.94,,Normal,Trainer – Supporter,Fogo Branco
43.49,,Pokeball Foil,Trainer – Supporter,Fogo Branco
17.53,,Normal,Trainer – Supporter,Fogo Branco
42.79,,Pokeball Foil,Trainer – Supporter,Fogo Branco
41.82,,Reverse Foil,Trainer – Supporter,Fogo Branco
31.41,,Reverse Foil,Trainer – Supporter,Fogo Branco
41.57,,Reverse Foil,Trainer – Supporter,Fogo Branco
40.01,,Reverse Foil,Trainer – Supporter,Fogo Branco
31.55,,Reverse Foil,Trainer – Supporter,Fogo Branco
4.55,,Normal,Trainer – Supporter,Fogo Branco
38.52,,Reverse Foil,Trainer – Supporter,Fogo Branco
48.95,,Pokeball Foil,Trainer – Supporter,Fogo Branco
49.75,,Pokeball Foil,Trainer – Supporter,Fogo Branco
33.66,,Reverse Foil,Trainer – Supporter,Fogo Branco
34.55,,Reverse Foil,Trainer – Supporter,Fogo Branco
5.24,,Normal,Trainer – Supporter,Fogo Branco
41.49,,Reverse Foil,Trainer – Supporter,Fogo Branco
24.17,,Foil,Trainer – Supporter,Fogo Branco
22.63,,Foil,Trainer – Supporter,Fogo Branco
17.87,,Normal,Trainer – Supporter,Fogo Branco
26.57,,Foil,Trainer – Supporter,Fogo Branco
8.77,,Normal,Trainer – Supporter,Fogo Branco
44.36,,Pokeball Foil,Trainer – Supporter,Fogo Branco
27.94,,Foil,Trainer – Supporter,Fogo Branco
34.18,,Reverse Foil,Trainer – Supporter,Fogo Branco
12.5,,Normal,Trainer – Supporter,Fogo Branco
13.46,,Normal,Trainer – Supporter,Fogo Branco
26.05,,Foil,Trainer – Supporter,Fogo Branco
29.46,,Foil,Trainer – Supporter,Fogo Branco
19.28,,Foil,Trainer – Supporter,Fogo Branco
37.56,,Reverse Foil,Trainer – Supporter,Fogo Branco
8.44,,Normal,Trainer – Supporter,Fogo Branco
19.49,,Foil,Trainer – Supporter,Fogo Branco
41.18,,Reverse Foil,Trainer – Supporter,Fogo Branco
30.41,,Foil,Trainer – Supporter,Fogo Branco
39.0,,Reverse Foil,Trainer – Supporter,Fogo Branco
37.05,,Reverse Foil,Trainer – Supporter,Fogo Branco
19.57,,Foil,Trainer – Supporter,Fogo Branco
13.8,,Normal,Trainer – Supporter,Fogo Branco
20.35,,Foil,Trainer – Supporter,Fogo Branco
35.74,,Reverse Foil,Trainer – Supporter,Fogo Branco
40.76,,Reverse Foil,Trainer – Supporter,Fogo Branco
23.97,,Foil,Trainer – Supporter,Fogo Branco
33.14,,Reverse Foil,Trainer – Supporter,Fogo Branco
33.99,,Reverse Foil,Trainer – Supporter,Fogo Branco
9.63,,Normal,Trainer – Supporter,Fogo Branco
46.96,,Pokeball Foil,Trainer – Supporter,Fogo Branco
17.57,,Normal,Trainer – Supporter,Fogo Branco
45.43,,Pokeball Foil,Trainer – Supporter,Fogo Branco
42.84,,Pokeball Foil,Trainer – Supporter,Fogo Branco
0.84,,Normal,Trainer – Supporter,Fogo Branco
39.07,,Reverse Foil,Trainer – Supporter,Fogo Branco
41.81,,Reverse Foil,Trainer – Supporter,Fogo Branco
43.91,,Pokeball Foil,Trainer – Supporter,Fogo Branco
19.16,,Foil,Trainer – Supporter,Fogo Branco
10.71,,Normal,Trainer – Supporter,Fogo Branco
37.35,,Reverse Foil,Trainer – Supporter,Fogo Branco
34.92,,Reverse Foil,Trainer – Supporter,Fogo Branco
2.96,,Normal,Trainer – Supporter,Fogo Branco
38.23,,Reverse Foil,Trainer – Supporter,Fogo Branco
39.78,,Reverse Foil,Trainer – Supporter,Fogo Branco
30.2,,Foil,Trainer – Supporter,Fogo Branco
14.19,,Normal,Trainer – Supporter,Fogo Branco
34.72,,Reverse Foil,Trainer – Supporter,Fogo Branco
38.18,,Reverse Foil,Trainer – Supporter,Fogo Branco
31.94,,Reverse Foil,Trainer – Supporter,Fogo Branco
25.48,,Foil,Trainer – Supporter,Fogo Branco
26.43,,Foil,Trainer – Supporter,Fogo Branco
0.54,,Normal,Trainer – Supporter,Fogo Branco
48.13,,Pokeball Foil,Trainer – Supporter,Fogo Branco
18.84,,Normal,Trainer – Supporter,Fogo Branco
15.02,,Normal,Trainer – Supporter,Fogo Branco
5.4,,Normal,Trainer – Supporter,Fogo Branco
12.66,,Normal,Trainer – Supporter,Fogo Branco
2.23,,Normal,Trainer – Supporter,Fogo Branco
16.6,,Normal,Trainer – Supporter,Fogo Branco
17.2,,Normal,Trainer – Supporter,Fogo Branco
22.04,,Foil,Trainer – Supporter,Fogo Branco
2.44,,Normal,Trainer – Supporter,Fogo Branco
39.47,,Reverse Foil,Trainer – Supporter,Fogo Branco
48.42,,Pokeball Foil,Trainer – Supporter,Fogo Branco
23.94,,Foil,Trainer – Supporter,Fogo Branco
31.5,,Reverse Foil,Trainer – Supporter,Fogo Branco
11.25,,Normal,Trainer – Supporter,Fogo Branco
5.76,,Foil,Trainer – Supporter,Fogo Branco
9.85,,Pokeball Foil,Trainer – Supporter,Fogo Branco
5.69,,Foil,Trainer – Supporter,Fogo Branco
1.71,,Normal,Trainer – Supporter,Fogo Branco
1.06,,Normal,Trainer – Supporter,Fogo Branco
2.86,,Normal,Trainer – Supporter,Fogo Branco
3.38,,Normal,Trainer – Supporter,Fogo Branco
10.48,,Pokeball Foil,Trainer – Supporter,Fogo Branco
2.49,,Normal,Trainer – Supporter,Fogo Branco
9.28,,Reverse Foil,Trainer – Supporter,Fogo Branco
4.41,,Foil,Trainer – Supporter,Fogo Branco
2.93,,Normal,Trainer – Supporter,Fogo Branco
6.74,,Foil,Trainer – Supporter,Fogo Branco
9.21,,Reverse Foil,Trainer – Supporter,Fogo Branco
3.78,,Normal,Trainer – Supporter,Fogo Branco
6.41,,Foil,Trainer – Supporter,Fogo Branco
5.7,,Foil,Trainer – Supporter,Fogo Branco
10.53,,Pokeball Foil,Trainer – Supporter,Fogo Branco
7.15,,Reverse Foil,Trainer – Supporter,Fogo Branco
3.39,,Normal,Trainer – Supporter,Fogo Branco
1.57,,Normal,Trainer – Supporter,Fogo Branco
4.28,,Foil,Trainer – Supporter,Fogo Branco
7.62,,Reverse Foil,Trainer – Supporter,Fogo Branco
0.31,,Normal,Trainer – Supporter,Fogo Branco
4.76,,Foil,Trainer – Supporter,Fogo Branco
10.5,,Pokeball Foil,Trainer – Supporter,Fogo Branco
0.96,,Normal,Trainer – Supporter,Fogo Branco
4.26,,Normal,Trainer – Supporter,Fogo Branco
4.57,,Foil,Trainer – Supporter,Fogo Branco
1.54,,Normal,Trainer – Supporter,Fogo Branco
1.11,,Normal,Trainer – Supporter,Fogo Branco
4.88,,Foil,Trainer – Supporter,Fogo Branco
9.57,,Pokeball Foil,Trainer – Supporter,Fogo Branco
6.72,,Foil,Trainer – Supporter,Fogo Branco
10.7,,Pokeball Foil,Trainer – Supporter,Fogo Branco
3.26,,Normal,Trainer – Supporter,Fogo Branco
1.04,,Normal,Trainer – Supporter,Fogo Branco
0.7,,Normal,Trainer – Supporter,Fogo Branco
4.9,,Foil,Trainer – Supporter,Fogo Branco
8.9,,Reverse Foil,Trainer – Supporter,Fogo Branco
8.92,,Reverse Foil,Trainer – Supporter,Fogo Branco
9.81,,Pokeball Foil,Trainer – Supporter,Fogo Branco
2.48,,Normal,Trainer – Supporter,Fogo Branco
10.63,,Pokeball Foil,Trainer – Supporter,Fogo Branco
0.72,,Normal,Trainer – Supporter,Fogo Branco
2.35,,Normal,Trainer – Supporter,Fogo Branco
5.87,,Foil,Trainer – Supporter,Fogo Branco
1.3,,Normal,Trainer – Supporter,Fogo Branco
2.26,,Normal,Trainer – Supporter,Fogo Branco
5.77,,Foil,Trainer – Supporter,Fogo Branco
0.98,,Normal,Trainer – Supporter,Fogo Branco
3.19,,Normal,Trainer – Supporter,Fogo Branco
8.55,,Reverse Foil,Trainer – Supporter,Fogo Branco
9.33,,Reverse Foil,Trainer – Supporter,Fogo Branco
2.15,,Normal,Trainer – Supporter,Fogo Branco
4.51,,Foil,Trainer – Supporter,Fogo Branco
3.04,,Normal,Trainer – Supporter,Fogo Branco
4.88,,Foil,Trainer – Supporter,Fogo Branco
2.83,,Normal,Trainer – Supporter,Fogo Branco
6.02,,Foil,Trainer – Supporter,Fogo Branco
11.03,,Pokeball Foil,Trainer – Supporter,Fogo Branco
11.04,,Pokeball Foil,Trainer – Supporter,Fogo Branco
7.67,,Reverse Foil,Trainer – Supporter,Fogo Branco
1.46,,Normal,Trainer – Supporter,Fogo Branco
2.69,,Normal,Trainer – Supporter,Fogo Branco
3.92,,Normal,Trainer – Supporter,Fogo Branco
4.37,,Foil,Trainer – Supporter,Fogo Branco
8.56,,Reverse Foil,Trainer – Supporter,Fogo Branco
6.85,,Foil,Trainer – Supporter,Fogo Branco
8.71,,Reverse Foil,Trainer – Supporter,Fogo Branco
10.05,,Pokeball Foil,Trainer – Supporter,Fogo Branco
10.17,,Pokeball Foil,Trainer – Supporter,Fogo Branco
3.58,,Normal,Trainer – Supporter,Fogo Branco
4.36,,Foil,Trainer – Supporter,Fogo Branco
6.32,,Foil,Trainer – Supporter,Fogo Branco
9.53,,Reverse Foil,Trainer – Supporter,Fogo Branco
0.7,,Normal,Trainer – Supporter,Fogo Branco
3.94,,Normal,Trainer – Supporter,Fogo Branco
3.29,,Normal,Trainer – Supporter,Fogo Branco
6.87,,Foil,Trainer – Supporter,Fogo Branco
4.13,,Normal,Trainer – Supporter,Fogo Branco
6.36,,Foil,Trainer – Supporter,Fogo Branco
8.62,,Reverse Foil,Trainer – Supporter,Fogo Branco
10.83,,Pokeball Foil,Trainer – Supporter,Fogo Branco
5.39,,Foil,Trainer – Supporter,Fogo Branco
2.78,,Normal,Trainer – Supporter,Fogo Branco
9.98,,Pokeball Foil,Trainer – Supporter,Fogo Branco
10.05,,Pokeball Foil,Trainer – Supporter,Fogo Branco
7.03,,Reverse Foil,Trainer – Supporter,Fogo Branco
2.57,,Normal,Trainer – Supporter,Fogo Branco
2.08,,Normal,Trainer – Supporter,Fogo Branco
4.9,,Foil,Trainer – Supporter,Fogo Branco
2.01,,Normal,Trainer – Supporter,Fogo Branco
0.24,,Normal,Trainer – Supporter,Fogo Branco
11.06,,Pokeball Foil,Trainer – Supporter,Fogo Branco
349.78,,Normal,Trainer – Supporter,Fogo Branco
376.56,,Foil,Trainer – Supporter,Fogo Branco
429.98,,Foil,Trainer – Supporter,Fogo Branco
710.16,,Reverse Foil,Trainer – Supporter,Fogo Branco
928.6,,Pokeball Foil,Trainer – Supporter,Fogo Branco
931.18,,Pokeball Foil,Trainer – Supporter,Fogo Branco
958.67,,Pokeball Foil,Trainer – Supporter,Fogo Branco
709.23,,Reverse Foil,Trainer – Supporter,Fogo Branco
581.29,,Foil,Trainer – Supporter,Fogo Branco
332.11,,Normal,Trainer – Supporter,Fogo Branco
650.06,,Reverse Foil,Trainer – Supporter,Fogo Branco
560.02,,Foil,Trainer – Supporter,Fogo Branco
228.66,,Normal,Trainer – Supporter,Fogo Branco
343.06,,Normal,Trainer – Supporter,Fogo Branco
246.86,,Normal,Trainer – Supporter,Fogo Branco
299.93,,Normal,Trainer – Supporter,Fogo Branco
152.64,,Pokeball Foil,Trainer – Supporter,Fogo Branco
165.37,,Pokeball Foil,Trainer – Supporter,Fogo Branco
143.93,,Reverse Foil,Trainer – Supporter,Fogo Branco
71.99,,Foil,Trainer – Supporter,Fogo Branco
76.34,,Foil,Trainer – Supporter,Fogo Branco
157.79,,Pokeball Foil,Trainer – Supporter,Fogo Branco
113.38,,Reverse Foil,Trainer – Supporter,Fogo Branco
80.56,,Foil,Trainer – Supporter,Fogo Branco
155.71,,Pokeball Foil,Trainer – Supporter,Fogo Branco
70.52,,Foil,Trainer – Supporter,Fogo Branco
84.74,,Foil,Trainer – Supporter,Fogo Branco
82.07,,Foil,Trainer – Supporter,Fogo Branco
168.27,,Pokeball Foil,Trainer – Supporter,Fogo Branco
148.27,,Pokeball Foil,Trainer – Supporter,Fogo Branco
83.55,,Foil,Trainer – Supporter,Fogo Branco
95.45,,Foil,Trainer – Supporter,Fogo Branco
94.93,,Foil,Trainer – Supporter,Fogo Branco
95.33,,Foil,Trainer – Supporter,Fogo Branco
135.51,,Reverse Foil,Trainer – Supporter,Fogo Branco
148.74,,Pokeball Foil,Trainer – Supporter,Fogo Branco
102.26,,Foil,Trainer – Supporter,Fogo Branco
73.79,,Foil,Trainer – Supporter,Fogo Branco
139.49,,Reverse Foil,Trainer – Supporter,Fogo Branco
101.75,,Foil,Trainer – Supporter,Fogo Branco
154.08,,Pokeball Foil,Trainer – Supporter,Fogo Branco
110.99,,Reverse Foil,Trainer – Supporter,Fogo Branco
36.2,,Reverse Foil,Trainer – Supporter,Fogo Branco
9.96,,Normal,Trainer – Supporter,Fogo Branco
16.28,,Normal,Trainer – Supporter,Fogo Branco
28.16,,Foil,Trainer – Supporter,Fogo Branco
15.07,,Normal,Trainer – Supporter,Fogo Branco
50.52,,Pokeball Foil,Trainer – Supporter,Fogo Branco
32.74,,Foil,Trainer – Supporter,Fogo Branco
54.67,,Pokeball Foil,Trainer – Supporter,Fogo Branco
37.38,,Reverse Foil,Trainer – Supporter,Fogo Branco
17.07,,Normal,Trainer – Supporter,Fogo Branco
9.0,,Normal,Trainer – Supporter,Fogo Branco
7.37,,Normal,Trainer – Supporter,Fogo Branco
14.29,,Normal,Trainer – Supporter,Fogo Branco
50.18,,Pokeball Foil,Trainer – Supporter,Fogo Branco
12.23,,Normal,Trainer – Supporter,Fogo Branco
25.2,,Foil,Trainer – Supporter,Fogo Branco
25.21,,Foil,Trainer – Supporter,Fogo Branco
48.3,,Reverse Foil,Trainer – Supporter,Fogo Branco
52.5,,Pokeball Foil,Trainer – Supporter,Fogo Branco
52.86,,Pokeball Foil,Trainer – Supporter,Fogo Branco
55.61,,Pokeball Foil,Trainer – Supporter,Fogo Branco
40.91,,Reverse Foil,Trainer – Supporter,Fogo Branco
28.04,,Foil,Trainer – Supporter,Fogo Branco
19.95,,Normal,Trainer – Supporter,Fogo Branco
17.35,,Normal,Trainer – Supporter,Fogo Branco
22.42,,Foil,Trainer – Supporter,Fogo Branco
32.44,,Foil,Trainer – Supporter,Fogo Branco
26.62,,Foil,Trainer – Supporter,Fogo Branco
43.5,,Reverse Foil,Trainer – Supporter,Fogo Branco
24.55,,Foil,Trainer – Supporter,Fogo Branco
38.83,,Reverse Foil,Trainer – Supporter,Fogo Branco
52.68,,Pokeball Foil,Trainer – Supporter,Fogo Branco
27.08,,Foil,Trainer – Supporter,Fogo Branco
34.97,,Foil,Trainer – Supporter,Fogo Branco
17.48,,Normal,Trainer – Supporter,Fogo Branco
28.8,,Foil,Trainer – Supporter,Fogo Branco
49.61,,Pokeball Foil,Trainer – Supporter,Fogo Branco
14.29,,Normal,Trainer – Supporter,Fogo Branco
37.16,,Reverse Foil,Trainer – Supporter,Fogo Branco
20.15,,Normal,Trainer – Supporter,Fogo Branco
48.59,,Pokeball Foil,Trainer – Supporter,Fogo Branco
40.23,,Reverse Foil,Trainer – Supporter,Fogo Branco
51.36,,Pokeball Foil,Trainer – Supporter,Fogo Branco
19.55,,Normal,Trainer – Supporter,Fogo Branco
13.54,,Normal,Trainer – Supporter,Fogo Branco
23.04,,Foil,Trainer – Supporter,Fogo Branco
55.42,,Pokeball Foil,Trainer – Supporter,Fogo Branco
17.99,,Normal,Trainer – Supporter,Fogo Branco
20.06,,Normal,Trainer – Supporter,Fogo Branco
19.96,,Normal,Trainer – Supporter,Fogo Branco
55.59,,Pokeball Foil,Trainer – Supporter,Fogo Branco
33.08,,Foil,Trainer – Supporter,Fogo Branco
52.89,,Pokeball Foil,Trainer – Supporter,Fogo Branco
51.63,,Pokeball Foil,Trainer – Supporter,Fogo Branco
29.18,,Foil,Trainer – Supporter,Fogo Branco
53.67,,Pokeball Foil,Trainer – Supporter,Fogo Branco
22.71,,Foil,Trainer – Supporter,Fogo Branco
11.22,,Normal,Trainer – Supporter,Fogo Branco
9.08,,Normal,Trainer – Supporter,Raio Preto
11.9,,Normal,Trainer – Supporter,Raio Preto
15.57,,Normal,Trainer – Supporter,Raio Preto
42.54,,Pokeball Foil,Trainer – Supporter,Raio Preto
15.61,,Normal,Trainer – Supporter,Raio Preto
21.36,,Foil,Trainer – Supporter,Raio Preto
41.37,,Pokeball Foil,Trainer – Supporter,Raio Preto
15.56,,Normal,Trainer – Supporter,Raio Preto
44.54,,Pokeball Foil,Trainer – Supporter,Raio Preto
19.92,,Foil,Trainer – Supporter,Raio Preto
36.84,,Reverse Foil,Trainer – Supporter,Raio Preto
22.88,,Foil,Trainer – Supporter,Raio Preto
18.01,,Foil,Trainer – Supporter,Raio Preto
20.65,,Foil,Trainer – Supporter,Raio Preto
43.24,,Pokeball Foil,Trainer – Supporter,Raio Preto
31.8,,Reverse Foil,Trainer – Supporter,Raio Preto
23.56,,Foil,Trainer – Supporter,Raio Preto
10.42,,Normal,Trainer – Supporter,Raio Preto
41.6,,Pokeball Foil,Trainer – Supporter,Raio Preto
29.69,,Reverse Foil,Trainer – Supporter,Raio Preto
14.74,,Normal,Trainer – Supporter,Raio Preto
16.48,,Normal,Trainer – Supporter,Raio Preto
40.86,,Pokeball Foil,Trainer – Supporter,Raio Preto
41.26,,Pokeball Foil,Trainer – Supporter,Raio Preto
37.51,,Reverse Foil,Trainer – Supporter,Raio Preto
22.1,,Foil,Trainer – Supporter,Raio Preto
9.39,,Normal,Trainer – Supporter,Raio Preto
13.75,,Normal,Trainer – Supporter,Raio Preto
28.19,,Reverse Foil,Trainer – Supporter,Raio Preto
26.69,,Foil,Trainer – Supporter,Raio Preto
37.86,,Reverse Foil,Trainer – Supporter,Raio Preto
11.57,,Normal,Trainer – Supporter,Raio Preto
35.23,,Reverse Foil,Trainer – Supporter,Raio Preto
43.6,,Pokeball Foil,Trainer – Supporter,Raio Preto
10.23,,Normal,Trainer – Supporter,Raio Preto
14.75,,Normal,Trainer – Supporter,Raio Preto
17.61,,Foil,Trainer – Supporter,Raio Preto
38.6,,Pokeball Foil,Trainer – Supporter,Raio Preto
18.7,,Foil,Trainer – Supporter,Raio Preto
16.96,,Normal,Trainer – Supporter,Raio Preto
15.18,,Normal,Trainer – Supporter,Raio Preto
25.2,,Foil,Trainer – Supporter,Raio Preto
32.06,,Reverse Foil,Trainer – Supporter,Raio Preto
29.49,,Reverse Foil,Trainer – Supporter,Raio Preto
13.03,,Normal,Trainer – Supporter,Raio Preto
9.68,,Normal,Trainer – Supporter,Raio Preto
11.48,,Normal,Trainer – Supporter,Raio Preto
15.32,,Normal,Trainer – Supporter,Raio Preto
32.93,,Reverse Foil,Trainer – Supporter,Raio Preto
17.42,,Foil,Trainer – Supporter,Raio Preto
9.93,,Reverse Foil,Trainer – Supporter,Raio Preto
9.18,,Reverse Foil,Trainer – Supporter,Raio Preto
4.42,,Normal,Trainer – Supporter,Raio Preto
9.66,,Reverse Foil,Trainer – Supporter,Raio Preto
10.35,,Pokeball Foil,Trainer – Supporter,Raio Preto
10.98,,Pokeball Foil,Trainer – Supporter,Raio Preto
8.38,,Reverse Foil,Trainer – Supporter,Raio Preto
11.22,,Pokeball Foil,Trainer – Supporter,Raio Preto
10.7,,Pokeball Foil,Trainer – Supporter,Raio Preto
11.61,,Pokeball Foil,Trainer – Supporter,Raio Preto
6.73,,Foil,Trainer – Supporter,Raio Preto
8.74,,Reverse Foil,Trainer – Supporter,Raio Preto
8.11,,Reverse Foil,Trainer – Supporter,Raio Preto
7.03,,Foil,Trainer – Supporter,Raio Preto
9.96,,Reverse Foil,Trainer – Supporter,Raio Preto
2.08,,Normal,Trainer – Supporter,Raio Preto
11.73,,Pokeball Foil,Trainer – Supporter,Raio Preto
5.12,,Foil,Trainer – Supporter,Raio Preto
3.86,,Normal,Trainer – Supporter,Raio Preto
5.52,,Foil,Trainer – Supporter,Raio Preto
4.85,,Foil,Trainer – Supporter,Raio Preto
9.48,,Reverse Foil,Trainer – Supporter,Raio Preto
8.26,,Reverse Foil,Trainer – Supporter,Raio Preto
3.09,,Normal,Trainer – Supporter,Raio Preto
11.25,,Pokeball Foil,Trainer – Supporter,Raio Preto
1.92,,Normal,Trainer – Supporter,Raio Preto
6.22,,Foil,Trainer – Supporter,Raio Preto
0.85,,Normal,Trainer – Supporter,Raio Preto
11.15,,Pokeball Foil,Trainer – Supporter,Raio Preto
0.43,,Normal,Trainer – Supporter,Raio Preto
11.1,,Pokeball Foil,Trainer – Supporter,Raio Preto
6.13,,Foil,Trainer – Supporter,Raio Preto
2.75,,Normal,Trainer – Supporter,Raio Preto
5.9,,Foil,Trainer – Supporter,Raio Preto
6.94,,Foil,Trainer – Supporter,Raio Preto
7.93,,Reverse Foil,Trainer – Supporter,Raio Preto
9.24,,Reverse Foil,Trainer – Supporter,Raio Preto
3.19,,Normal,Trainer – Supporter,Raio Preto
11.21,,Pokeball Foil,Trainer – Supporter,Raio Preto
8.88,,Reverse Foil,Trainer – Supporter,Raio Preto
5.16,,Foil,Trainer – Supporter,Raio Preto
0.95,,Normal,Trainer – Supporter,Raio Preto
11.73,,Pokeball Foil,Trainer – Supporter,Raio Preto
6.22,,Foil,Trainer – Supporter,Raio Preto
7.67,,Reverse Foil,Trainer – Supporter,Raio Preto
11.59,,Pokeball Foil,Trainer – Supporter,Raio Preto
8.67,,Reverse Foil,Trainer – Supporter,Raio Preto
5.15,,Foil,Trainer – Supporter,Raio Preto
9.4,,Reverse Foil,Trainer – Supporter,Raio Preto
10.17,,Reverse Foil,Trainer – Supporter,Raio Preto
0.6,,Normal,Trainer – Supporter,Raio Preto
1.72,,Normal,Trainer – Supporter,Raio Preto
0.7,,Normal,Trainer – Supporter,Raio Preto
1.73,,Normal,Trainer – Supporter,Raio Preto
3.95,,Normal,Trainer – Supporter,Raio Preto
5.87,,Foil,Trainer – Supporter,Raio Preto
4.59,,Foil,Trainer – Supporter,Raio Preto
11.5,,Pokeball Foil,Trainer – Supporter,Raio Preto
0.58,,Normal,Trainer – Supporter,Raio Preto
5.43,,Foil,Trainer – Supporter,Raio Preto
9.36,,Reverse Foil,Trainer – Supporter,Raio Preto
8.56,,Reverse Foil,Trainer – Supporter,Raio Preto
7.55,,Reverse Foil,Trainer – Supporter,Raio Preto
8.3,,Reverse Foil,Trainer – Supporter,Raio Preto
7.12,,Foil,Trainer – Supporter,Raio Preto
10.62,,Pokeball Foil,Trainer – Supporter,Raio Preto
4.41,,Normal,Trainer – Supporter,Raio Preto
9.33,,Reverse Foil,Trainer – Supporter,Raio Preto
6.1,,Foil,Trainer – Supporter,Raio Preto
1.3,,Normal,Trainer – Supporter,Raio Preto
0.63,,Normal,Trainer – Supporter,Raio Preto
6.65,,Foil,Trainer – Supporter,Raio Preto
4.68,,Foil,Trainer – Supporter,Raio Preto
10.52,,Pokeball Foil,Trainer – Supporter,Raio Preto
11.87,,Pokeball Foil,Trainer – Supporter,Raio Preto
6.03,,Foil,Trainer – Supporter,Raio Preto
10.71,,Pokeball Foil,Trainer – Supporter,Raio Preto
7.87,,Reverse Foil,Trainer – Supporter,Raio Preto
1.96,,Normal,Trainer – Supporter,Raio Preto
7.54,,Reverse Foil,Trainer – Supporter,Raio Preto
4.4,,Normal,Trainer – Supporter,Raio Preto
9.99,,Reverse Foil,Trainer – Supporter,Raio Preto
5.45,,Foil,Trainer – Supporter,Raio Preto
7.41,,Foil,Trainer – Supporter,Raio Preto
10.86,,Pokeball Foil,Trainer – Supporter,Raio Preto
11.46,,Pokeball Foil,Trainer – Supporter,Raio Preto
2.3,,Normal,Trainer – Supporter,Raio Preto
11.79,,Pokeball Foil,Trainer – Supporter,Raio Preto
5.37,,Foil,Trainer – Supporter,Raio Preto
9.77,,Reverse Foil,Trainer – Supporter,Raio Preto
7.02,,Foil,Trainer – Supporter,Raio Preto
